similitud,codigo_1,codigo_2,establecimiento_1,establecimiento_2,jornada_1,jornada_2,modalidad_1,modalidad_2,plan_1,plan_2,director_1,director_2,status_1,status_2
100.0,00-01-0366-46,00-01-2908-46,"INSTITUTO PARTICULAR MIXTO ""CIENCIA Y DESARROLLO""","INSTITUTO PARTICULAR MIXTO ""CIENCIA Y DESARROLLO""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,MYRIAM JEANNETTE CIFUENTES ORTIZ,MYRIAM JEANNETTE CIFUENTES ORTIZ,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,00-01-0318-46,00-01-0595-46,LICEO HISPANOAMERICANO NO. 2,LICEO HISPANOAMERICANO NO. 2,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),MARÍA ISABEL POLANCO PAZ,MARÍA ISABEL POLANCO PAZ,ABIERTA,ABIERTA
100.0,22-06-0020-46,22-06-0037-46,LICEO YUPANO,LICEO YUPANO,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,INMER WILFREDO VELÁSQUEZ DOMÍNGUEZ,INMER WILFREDO VELÁSQUEZ DOMÍNGUEZ,ABIERTA,ABIERTA
100.0,00-01-0266-46,00-02-7035-46,LICEO DE COMPUTACION C.S.S.,LICEO DE COMPUTACION C.S.S.,INTERMEDIA,INTERMEDIA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),DESCONOCIDO,DESCONOCIDO,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,18-01-0306-46,18-01-0308-46,"INSTITUTO INTERCULTURAL MIXTO ""KATOK WINAQ""","INSTITUTO INTERCULTURAL MIXTO ""KATOK WINAQ""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,IRREGULAR,IRREGULAR,CINTHYA MARIBEL DIAZ ALDANA,CINTHYA MARIBEL DIAZ ALDANA,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,22-13-0032-46,22-13-0033-46,LICEO SAN PEDRO,LICEO SAN PEDRO,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,DELMY LILÍ RAMÍREZ GONZÁLEZ,DELMY LILÍ RAMÍREZ GONZÁLEZ,ABIERTA,ABIERTA
100.0,22-14-0080-46,22-14-0082-46,"INSTITUTO MIXTO DE EDUCACIÓN DE ORIENTE ""IMIDEO NÉRICI""","INSTITUTO MIXTO DE EDUCACIÓN DE ORIENTE ""IMIDEO NÉRICI""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,MERCY MARÍA GÓMEZ RUANO,MERCY MARÍA GÓMEZ RUANO,ABIERTA,ABIERTA
100.0,22-17-0038-46,22-17-0039-46,"COLEGIO INTEGRAL DE COMPUTACIÓN ""EDUCARE""","COLEGIO INTEGRAL DE COMPUTACIÓN ""EDUCARE""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,SENDER MAURICIO SOTO VÁSQUEZ,SENDER MAURICIO SOTO VÁSQUEZ,ABIERTA,ABIERTA
100.0,16-03-9884-46,16-03-9885-46,LICEO SAN CRISTOBAL,LICEO SAN CRISTOBAL,VESPERTINA,VESPERTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),CRISTÓBAL MORÁN MO,CRISTÓBAL MORÁN MO,ABIERTA,ABIERTA
100.0,17-03-0098-46,17-03-0099-46,LICEO INTEGRAL NUEVA GENERACION - LING-,LICEO INTEGRAL NUEVA GENERACION - LING-,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,MIGUEL ANGEL MEJIA FLORES,MIGUEL ANGEL MEJIA FLORES,ABIERTA,ABIERTA
