seccion,variable,metrica,valor
g_formato_inconsistente,MUNICIPIO,espacios_borde,0
g_formato_inconsistente,MUNICIPIO,espacios_multiples,0
g_formato_inconsistente,MUNICIPIO,caracteres_corruptos,0
g_formato_inconsistente,ESTABLECIMIENTO,espacios_borde,0
g_formato_inconsistente,ESTABLECIMIENTO,espacios_multiples,0
g_formato_inconsistente,ESTABLECIMIENTO,caracteres_corruptos,0
g_formato_inconsistente,DIRECCION,espacios_borde,0
g_formato_inconsistente,DIRECCION,espacios_multiples,0
g_formato_inconsistente,DIRECCION,caracteres_corruptos,0
g_formato_inconsistente,TELEFONO,espacios_borde,0
g_formato_inconsistente,TELEFONO,espacios_multiples,0
g_formato_inconsistente,TELEFONO,caracteres_corruptos,0
g_formato_inconsistente,TELEFONO,con_letras,10.0
g_formato_inconsistente,SUPERVISOR,espacios_borde,0
g_formato_inconsistente,SUPERVISOR,espacios_multiples,4
g_formato_inconsistente,SUPERVISOR,caracteres_corruptos,0
g_formato_inconsistente,DIRECTOR,espacios_borde,0
g_formato_inconsistente,DIRECTOR,espacios_multiples,0
g_formato_inconsistente,DIRECTOR,caracteres_corruptos,0
g_formato_inconsistente,NIVEL,espacios_borde,0
g_formato_inconsistente,NIVEL,espacios_multiples,0
g_formato_inconsistente,NIVEL,caracteres_corruptos,0
g_formato_inconsistente,SECTOR,espacios_borde,0
g_formato_inconsistente,SECTOR,espacios_multiples,0
g_formato_inconsistente,SECTOR,caracteres_corruptos,0
g_formato_inconsistente,AREA,espacios_borde,0
g_formato_inconsistente,AREA,espacios_multiples,0
g_formato_inconsistente,AREA,caracteres_corruptos,0
g_formato_inconsistente,STATUS,espacios_borde,0
g_formato_inconsistente,STATUS,espacios_multiples,0
g_formato_inconsistente,STATUS,caracteres_corruptos,0
g_formato_inconsistente,MODALIDAD,espacios_borde,0
g_formato_inconsistente,MODALIDAD,espacios_multiples,0
g_formato_inconsistente,MODALIDAD,caracteres_corruptos,0
g_formato_inconsistente,JORNADA,espacios_borde,0
g_formato_inconsistente,JORNADA,espacios_multiples,0
g_formato_inconsistente,JORNADA,caracteres_corruptos,0
g_formato_inconsistente,PLAN,espacios_borde,0
g_formato_inconsistente,PLAN,espacios_multiples,0
g_formato_inconsistente,PLAN,caracteres_corruptos,0
g_formato_inconsistente,DEPARTAMENTAL,espacios_borde,0
g_formato_inconsistente,DEPARTAMENTAL,espacios_multiples,0
g_formato_inconsistente,DEPARTAMENTAL,caracteres_corruptos,0
g_formato_inconsistente,origen,espacios_borde,0
g_formato_inconsistente,origen,espacios_multiples,0
g_formato_inconsistente,origen,caracteres_corruptos,0
g_patrones_formato,CODIGO,cantidad_patrones_distintos,1
g_patrones_formato,CODIGO,patron_mas_comun,AA-AA-AAAA-AA
g_patrones_formato,CODIGO,ejemplos_patron_distinto,
g_patrones_formato,DISTRITO,cantidad_patrones_distintos,3
g_patrones_formato,DISTRITO,patron_mas_comun,AA-AA-AAAA
g_patrones_formato,DISTRITO,ejemplos_patron_distinto,"21-004, 21-001, 21-016, 25-000, 21-008"
h_problemas_potenciales,,problema_1,"Valores faltantes en: DIRECTOR, TELEFONO, SUPERVISOR, DISTRITO, DIRECCION, ESTABLECIMIENTO"
h_problemas_potenciales,,problema_2,DEPARTAMENTO: 1 valores fuera de dominio
h_problemas_potenciales,,problema_3,SUPERVISOR: 2 valores fuera de dominio
h_problemas_potenciales,,problema_4,DIRECTOR: 28 valores fuera de dominio
h_problemas_potenciales,,problema_5,MUNICIPIO: 22 valores fuera de dominio
h_problemas_potenciales,,problema_6,TELEFONO: 213 valores fuera de dominio
h_problemas_potenciales,,problema_7,TELEFONO: contiene letras en un campo numérico
h_problemas_potenciales,,problema_8,SUPERVISOR: posibles problemas de formato de texto
h_problemas_potenciales,,problema_9,DISTRITO: 3 patrones de formato distintos (5109 valores no siguen el patrón más común)
